item_description,total_sales,cumulative_sales,revenue_share,segment
CORONA EXTRA LOOSE NR - 12OZ,46175.5,46175.5,0.04478198016294685,A
HEINEKEN LOOSE NR - 12OZ,24695.879999999997,70871.38,0.06873256885752549,A
MODELO ESPECIAL 24 LOOSE NR - 12OZ,20150.0,91021.38,0.08827446662329692,A
CORONA EXTRA 2/12 NR - 12OZ,20121.5,111142.88,0.10778872448403985,A
HEINEKEN 2/12 NR - 12OZ,15301.9,126444.78,0.12262883194915439,A
MODELO ESPECIAL SUITCASE CANS - 12OZ,12759.84,139204.62,0.13500359566069786,A
MILLER LITE 30PK CAN - 12OZ,12693.4,151898.02,0.14731392444978186,A
CORONA EXTRA 18PK NR - 12OZ,10961.72,162859.74,0.15794483321290903,A
CORONA EXTRA 4/6 NR - 12OZ,9929.04,172788.78,0.1675742269891996,A
BUD LIGHT 30PK CAN,9541.970000000001,182330.75,0.17682823206235387,A
MILWAUKEE BEST ICE 2/15PK CAN 12OZ,9526.470000000001,191857.22,0.1860672049064575,A
HEINEKEN 4/6 NR - 12OZ,9147.310000000001,201004.53,0.19493846033334677,A
MODELO ESPECIAL 2/12 NR - 12OZ,8922.08,209926.61,0.2035912829248125,A
MODELO ESPECIAL-2/12 CAN - 12OZ,8576.119999999999,218502.72999999998,0.21190858616386893,A
HEINEKEN 18PK NR - 12OZ,8240.0,226742.72999999998,0.21989991309141022,A
STELLA ARTOIS 2/12 NR - 11.2OZ,7688.76,234431.49,0.22735663576463863,A
HEINEKEN  SUITCASE CANS 24/12OZ,7417.92,241849.41,0.23455069205618562,A
CORONA EXTRA 2/12 CAN - 12OZ,7265.33,249114.74,0.24159676332638869,A
COORS LT 30PK CAN - 12OZ,6469.8,255584.53999999998,0.24787131271422927,A
BUD 30PK CAN - 12OZ,6280.969999999999,261865.50999999998,0.25396273075938447,A
MILLER LITE 2/12 LNNR - 12OZ,6206.16,268071.67,0.2599815964783929,A
MILLER LITE 18PK CAN - 12OZ,6177.0,274248.67,0.2659721822103617,A
STELLA ARTOIS LOOSE NR - 11.2OZ,5591.0,279839.67,0.27139445270209506,A
MILLER LITE 2/12 CAN - 12OZ,5388.5,285228.17,0.2766203343949417,A
BUD LIGHT 18PK 12OZ CAN,5262.0,290490.17,0.2817235337023109,A
MODELO ESPECIAL 18PK CAN - 12OZ,5193.67,295683.83999999997,0.2867604651250977,A
YUENGLING LAGER 2/12 NR - 12OZ,4758.2,300442.04,0.29137506849726114,A
STELLA ARTOIS 4/6 NR - 11.2OZ,4415.62,304857.66,0.2956574305127696,A
MODELO ESPECIAL 4/6 NR - 12OZ,4272.5,309130.16,0.2998009917139735,A
FLYING DOG THE TRUTH 4/6NR - 12OZ,4147.35,313277.50999999995,0.3038231797883592,A
WHITE CLAW VARIETY PACK #2  2/12PK 12.OZ CAN,4133.5,317411.00999999995,0.3078319358387223,A
MODELO ESPECIAL 18PK 12.0Z NR,4055.0,321466.00999999995,0.31176456092260335,A
COORS LT 18PK CAN - 12OZ,4044.67,325510.67999999993,0.31568716775318806,A
GUINNESS STOUT 2/12 NR,3897.5,329408.17999999993,0.3194670459934905,A
ICE,3842.0,333250.17999999993,0.32319309915557953,A
HEINEKEN 2/12 CAN - 12OZ,3733.87,336984.04999999993,0.32681428554816916,A
TRULY LEMONADE SELTZER VARIETY 12PK 120Z CAN,3663.0,340647.04999999993,0.33036674071025457,A
MILLER LITE  HIGH GRAPHIC LOOSE NR - 12OZ,3602.0,344249.04999999993,0.33386003677736664,A
BUD 18PK CAN - 12OZ,3482.0,347731.04999999993,0.3372369542969903,A
